"css-146c3p1","css-175oi2r href","css-9pa8cd src","css-175oi2r href 2","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1 2","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-175oi2r href 4","css-9pa8cd src 2","css-175oi2r href 5","css-9pa8cd src 3","css-146c3p1 href 2","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-1jxf684 10","css-1jxf684 11","css-1jxf684 12","css-175oi2r href 6","css-1jxf684 13","css-1jxf684 14","css-1jxf684 href","css-1jxf684 15","css-1jxf684 16","css-1jxf684 17","css-1jxf684 href 2","css-1jxf684 18","css-1jxf684 19","css-9pa8cd src 4","css-175oi2r href 7","css-9pa8cd src 5","css-175oi2r href 8","css-9pa8cd src 6","r-1p0dtai src","css-1jxf684 20","css-1jxf684 href 3"
"May 21","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925132331414659124","May 21","Mu Murenge wa Kacyiru, Akagari ka Kamatamu, abaturage bamwe bo mu gace ka MINAGRI babuze amashanyarazi. Turasaba kwihangana mu gihe turimo gukemura ikibazo gihari. Murakoze.",".","Show more","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","https://x.com/reg_rwanda/status/1925131362337464688","Quote","Rwanda Energy Group","@reg_rwanda","1","2","","https://x.com/reg_rwanda/status/1925132331414659124/analytics","1.6K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","·","#OutageAlert","We are currently experiencing a technical issue in Kacyiru Sector, Kamatamu Cell. As a result, some customers around MINAGRI are without power.
Our technical team is already on site, and restoration efforts are underway.
We appreciate your patience and understanding.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925131362337464688","May 21","We are currently experiencing a technical issue in Kacyiru Sector, Kamatamu Cell. As a result, some customers around MINAGRI are without power.
Our technical team is already on site, and restoration efforts are underway.
We appreciate your patience and understanding.","","Show more","","","","","","","","","1","1","","https://x.com/reg_rwanda/status/1925131362337464688/analytics","2.5K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925120871695257803","May 21",": Imbamutima z'abatuye ku kirwa cya Mushungo mu kiyaga cya Kivu mu karere ka","bakaba bishimira ubuzima bushya barimo, nyuma yo kugezwaho amashanyarazi.","","","https://pbs.twimg.com/amplify_video_thumb/1925119997728223232/img/g_MaxlP3n5ISfgtR.jpg","","","","","","","7","23","111","https://x.com/reg_rwanda/status/1925120871695257803/analytics","12K","#AmashanyaraziHose","https://x.com/hashtag/AmashanyaraziHose?src=hashtag_click","","","","https://x.com/Nyamasheke","","@Nyamasheke","","","","","","blob:https://x.com/3925033b-b2f0-4ceb-9887-f6966c13d460","",""
"May 20","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1924871036551516210","May 20","We wish to inform residents of Imena Village, Gatare Cell, Niboye Sector (Kicukiro District) that some customers are currently experiencing a service outage. Our team is diligently working to resolve the issue. We sincerely appreciate your patience and understanding","","Show more","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","2","1","","https://x.com/reg_rwanda/status/1924871036551516210/analytics","1.6K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","·","#Umurirowabuze","Mu Murenge wa Niboye, Akagari ka Gatare, Umudugudu wa Imena mu Karere ka Kicukiro, turasaba kwihangana mu gihe turimo gukemura ikibazo gihari. Murakoze.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1924869641848984042","May 20","Mu Murenge wa Niboye, Akagari ka Gatare, Umudugudu wa Imena mu Karere ka Kicukiro, turasaba kwihangana mu gihe turimo gukemura ikibazo gihari. Murakoze.","","","","","","","","","","","1","3","2","https://x.com/reg_rwanda/status/1924869641848984042/analytics","2.9K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1924837714278408382","May 20","Muraho neza!

Sosiyete y'u Rwanda Ishinzwe Ingufu REG, irakwibutsa uburyo bunyuranye wakoresha ugura umuriro:","Wakoresha USSD code","","https://x.com/reg_rwanda/status/1924837714278408382/photo/1","https://pbs.twimg.com/media/GrZbViNW0AASqJs?format=jpg&name=small","https://x.com/reg_rwanda/status/1924837714278408382/photo/2","https://pbs.twimg.com/media/GrZbzVZWkAAfthY?format=jpg&name=small","https://x.com/reg_rwanda/status/1924837714278408382/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","Wajya ku biro by'iposita","25","35","137","https://x.com/reg_rwanda/status/1924837714278408382/analytics","26K","","","Cyangwa se ugakoresha 'application'.

Ku bindi bisobanuro, hamagara 2727","","","","Wagura ukoresheje banki","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925120871695257803","May 21",": Imbamutima z'abatuye ku kirwa cya Mushungo mu kiyaga cya Kivu mu karere ka","bakaba bishimira ubuzima bushya barimo, nyuma yo kugezwaho amashanyarazi.","","","","","","","2:16","","","7","23","111","https://x.com/reg_rwanda/status/1925120871695257803/analytics","12K","#AmashanyaraziHose","https://x.com/hashtag/AmashanyaraziHose?src=hashtag_click","","","","https://x.com/Nyamasheke","","@Nyamasheke","","","","","","blob:https://x.com/3925033b-b2f0-4ceb-9887-f6966c13d460","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1924394651550683316","May 19","Twasuye ikirwa cya Mushungo giherereye mu Kiyaga cya Kivu, ni mu Kagari ka Nyarusange, Umurenge wa Kirimbi mu Karere ka",".","Show more","https://x.com/reg_rwanda/status/1924394651550683316/photo/1","https://pbs.twimg.com/media/GrTRdVAWUAAb1FZ?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1924394651550683316/photo/2","","https://x.com/reg_rwanda/status/1924394651550683316/media_tags","and 3 others","Ministry of Infrastructure | Rwanda","Ni ikirwa gituwe n'ingo 148, zigizwe","11","14","62","https://x.com/reg_rwanda/status/1924394651550683316/analytics","6.8K","","","","","","https://x.com/Nyamasheke","Tariki ya 8 Gicurasi 2025 nibwo mwa mbere batangiye gucana umuriro w'amashanyarazi bagejejweho na REG.","@Nyamasheke","https://pbs.twimg.com/media/GrTRyIVW8AA_Lnf?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1924394651550683316/photo/3","https://pbs.twimg.com/media/GrTR0c3WwAAp9JG?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1924394651550683316/photo/4","https://pbs.twimg.com/media/GrTR16iXcAAlQXj?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1925120871695257803","May 21",": Imbamutima z'abatuye ku kirwa cya Mushungo mu kiyaga cya Kivu mu karere ka","bakaba bishimira ubuzima bushya barimo, nyuma yo kugezwaho amashanyarazi.","","","","","","","0:03 / 2:19","","","7","23","111","https://x.com/reg_rwanda/status/1925120871695257803/analytics","12K","#AmashanyaraziHose","https://x.com/hashtag/AmashanyaraziHose?src=hashtag_click","","","","https://x.com/Nyamasheke","","@Nyamasheke","","","","","","blob:https://x.com/3925033b-b2f0-4ceb-9887-f6966c13d460","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1923425028885880979","May 16",",

Mu bice bya Kimihurura ahakikije Papyrus na Mamba club. Mutwihanganire mu gihe turimo gukora ibishoboka ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","","5","3","","https://x.com/reg_rwanda/status/1923425028885880979/analytics","2.5K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1923424441339371797","May 16","!

Some customers in Kimihurura around Papyrus and Mamba club are affected. Intervention has started. Please bear with us. Thank you.","","","","","","","","","","","2","","","https://x.com/reg_rwanda/status/1923424441339371797/analytics","1.9K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1923391425019891855","May 16","!

Customers around Kicukiro market, Sawa city supermarket, BPR Bank are affected. Intervention has started. Please bear with us. Thank you.","","","","","","","","","","","2","1","2","https://x.com/reg_rwanda/status/1923391425019891855/analytics","2K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1923351381781471358","May 16","Waba wibaza ibisabwa kugira ngo uhabwe kashipawa bwa mbere?","None se uribaza uko bigenda kugira ngo uhabwe kashipawa z'inyongera?  

Tugufitiye ibisubizo","Show more","https://x.com/reg_rwanda/status/1923351381781471358/photo/1","https://pbs.twimg.com/media/GrEbdgBWwAAWUV6?format=jpg&name=small","https://x.com/reg_rwanda/status/1923351381781471358/photo/2","https://pbs.twimg.com/media/GrEbe_wWQAA4ugJ?format=jpg&name=small","https://x.com/reg_rwanda/status/1923351381781471358/media_tags","and 3 others","Ministry of Infrastructure | Rwanda","Curious about what it takes to get your first cash power","123","41","182","https://x.com/reg_rwanda/status/1923351381781471358/analytics","40K","","","","","","","------------------------------------------------------------","","","","","","","","",""
"","https://x.com/USAmbRwanda","https://pbs.twimg.com/profile_images/1831569703354978304/D3LjoeG3_bigger.jpg","https://x.com/USAmbRwanda","Ambassador Eric Kneedler","@USAmbRwanda","·","https://x.com/USAmbRwanda/status/1922986669646524762","May 15","Nagiranye ibiganiro na","@EUinRW","@GermanyinRwanda","https://x.com/USAmbRwanda/status/1922986669646524762/photo/1","https://pbs.twimg.com/media/Gq_LeEgXUAAQHXt?format=jpg&name=small","https://x.com/USAmbRwanda/status/1922986669646524762/photo/2","https://pbs.twimg.com/media/Gq_LhHKX0AE6U8y?format=jpg&name=small","","","",",  uzatanga amashanyarazi ku barenga miliyoni 30 mu Rwanda, DRC, n'u Burundi, unateze imbere ishoramari n’ubufatanye mu karere.","11","45","297","https://x.com/USAmbRwanda/status/1922986669646524762/analytics","13K","","https://x.com/EUinRW",",","reposted","Rwanda Energy Group","https://x.com/Dr_JimmyGasore","n’abafatanyabikorwa ku guteza imbere umushinga wa","@Dr_JimmyGasore","https://pbs.twimg.com/profile_images/1883303881632804864/d638Kku-_bigger.jpg","","","","","","@RwandaInfra","https://x.com/RwandaInfra"
"May 15","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922982853765136898","May 15","Mu Bibare","kubera ikibazo tekinike. Turimo gukora ibishoboka byose ngo ugaruke vuba. Mutwihanganire. Murakoze.","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","1","1","1","https://x.com/reg_rwanda/status/1922982853765136898/analytics","1.7K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","·","#OutageAlert","Parts of Bibare","https://x.com/kimironkosecto6","","@kimironkosecto6","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922982560939774074","May 15","Parts of Bibare","are currently experiencing a power outage due to a technical issue. Our team is working hard to restore power as soon as possible. We appreciate your patience. Thank you.","","","","","","","","","","1","2","1","https://x.com/reg_rwanda/status/1922982560939774074/analytics","2.8K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","https://x.com/kimironkosecto6","","@kimironkosecto6","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922937100057366603","May 15","On 16th May 2025 there is a planned power outage in some parts of","and Rwaza Muko power plant.
Please plan accordingly to avoid interruption.","Show more","https://x.com/reg_rwanda/status/1922937100057366603/photo/1","https://pbs.twimg.com/media/Gq-kprnXYAApZsy?format=png&name=small","https://x.com/reg_rwanda/status/1922937100057366603/photo/2","https://pbs.twimg.com/media/Gq-k-qrXgAAckQz?format=png&name=small","","","","","2","3","","https://x.com/reg_rwanda/status/1922937100057366603/analytics","1.7K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","","","https://x.com/Nyarugenge","Tariki ya 16/05/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","@Nyarugenge","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922932667558908305","May 15","Today on 15th May 2025 there is a planned power outage in some parts of","","Show more","https://x.com/reg_rwanda/status/1922932667558908305/photo/1","https://pbs.twimg.com/media/Gq-hD5HXIAAx6e5?format=png&name=small","https://x.com/reg_rwanda/status/1922932667558908305/photo/2","https://pbs.twimg.com/media/Gq-hD4_WwAAvvFV?format=png&name=small","","","","&","4","4","11","https://x.com/reg_rwanda/status/1922932667558908305/analytics","3.2K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click",".
Please bear with us.","reposted","Rwanda Energy Group","https://x.com/GasaboDistrict","","@GasaboDistrict","","","","","","","@Nyarugenge","https://x.com/Nyarugenge"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922935407647269255","May 15","On 17th May 2025 there is a planned power outage in some parts of",".
Please plan accordingly to avoid interruption.","Show more","https://x.com/reg_rwanda/status/1922935407647269255/photo/1","https://pbs.twimg.com/media/Gq-jjm4WAAAVf28?format=png&name=small","https://x.com/reg_rwanda/status/1922935407647269255/photo/2","https://pbs.twimg.com/media/Gq-jjmjXoAA85B2?format=png&name=small","","","",".
Mutwihanganire.","1","5","","https://x.com/reg_rwanda/status/1922935407647269255/analytics","1.2K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","","","https://x.com/Nyarugenge","Tariki ya 17/05/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","@Nyarugenge","","","","","","","@Nyarugenge","https://x.com/Nyarugenge"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922934407217762679","May 15","On 20th May 2025 there is a planned power outage in some parts of",".
Please plan accordingly to avoid interruption.","Show more","https://x.com/reg_rwanda/status/1922934407217762679/photo/1","https://pbs.twimg.com/media/Gq-ipGuWAAEzVOr?format=png&name=small","https://x.com/reg_rwanda/status/1922934407217762679/photo/2","https://pbs.twimg.com/media/Gq-ipGsWUAAHQBP?format=png&name=small","","","",".","4","","","https://x.com/reg_rwanda/status/1922934407217762679/analytics","1.1K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","","","https://x.com/NyabihuDistrict","Tariki ya 20/05/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","@NyabihuDistrict","","","","","","","@NyabihuDistrict","https://x.com/NyabihuDistrict"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922932667558908305","May 15","Today on 15th May 2025 there is a planned power outage in some parts of","","Show more","https://x.com/reg_rwanda/status/1922932667558908305/photo/1","https://pbs.twimg.com/media/Gq-hD5HXIAAx6e5?format=png&name=small","https://x.com/reg_rwanda/status/1922932667558908305/photo/2","https://pbs.twimg.com/media/Gq-hD4_WwAAvvFV?format=png&name=small","","","","&","4","4","11","https://x.com/reg_rwanda/status/1922932667558908305/analytics","3.2K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click",".
Please bear with us.","","","https://x.com/GasaboDistrict","","@GasaboDistrict","","","","","","","@Nyarugenge","https://x.com/Nyarugenge"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1922927091336479094","May 15","On 24th May 2025 there is a planned power outage in some parts of","Please plan accordingly to avoid interruption.","","https://x.com/reg_rwanda/status/1922927091336479094/photo/1","https://pbs.twimg.com/media/Gq-b_aSWcAA3XX4?format=png&name=small","https://x.com/reg_rwanda/status/1922927091336479094/photo/2","https://pbs.twimg.com/media/Gq-b_adWYAARF50?format=png&name=small","","","","Murakoze.","1","3","7","https://x.com/reg_rwanda/status/1922927091336479094/analytics","2.3K","#Power_Outage_Alert","https://x.com/hashtag/Power_Outage_Alert?src=hashtag_click","","","","https://x.com/GasaboDistrict","Tariki ya 24/05/2025 hateganyijwe ibura ry'umuriro mu bice bimwe bya","@GasaboDistrict","","","","","","","@GasaboDistrict","https://x.com/GasaboDistrict"
